Mass (mg)	Length (mm)	Different Bugs	Date Observed
7.21	7.36	Woodlouse	2024-06-07
1.60	13.59	Woodlouse	2024-06-01
3.03	16.72	Woodlouse	2024-06-08
1.43	14.43	Woodlouse	2024-06-04
3.65	13.70	Woodlouse	2024-06-02
2.66	13.63	Woodlouse	2024-06-08
2.04	16.30	Woodlouse	2024-06-05
8.78	6.33	Woodlouse	2024-06-06
0.18	11.13	Woodlouse	2024-06-01
8.92	18.73	Woodlouse	2024-06-03
8.16	9.45	Woodlouse	2024-06-05
3.33	8.68	Woodlouse	2024-06-07
7.75	15.04	Woodlouse	2024-06-07
8.20	6.58	Woodlouse	2024-06-06
3.67	12.00	Woodlouse	2024-06-04
1.93	10.92	Woodlouse	2024-06-07
9.01	10.40	Woodlouse	2024-06-01
6.93	17.34	Woodlouse	2024-06-05
4.17	14.96	Woodlouse	2024-06-07
6.42	19.67	Woodlouse	2024-06-07
8.52	15.97	Woodlouse	2024-06-01
3.34	17.73	Woodlouse	2024-06-06
8.84	11.78	Woodlouse	2024-06-06
6.59	10.35	Woodlouse	2024-06-02
2.18	6.67	Woodlouse	2024-06-07
9.67	7.81	Woodlouse	2024-06-05
4.84	8.18	Woodlouse	2024-06-08
9.58	11.32	Woodlouse	2024-06-05
4.80	11.00	Woodlouse	2024-06-06
2.03	6.65	Woodlouse	2024-06-05
6.81	9.09	Woodlouse	2024-06-02
0.28	5.01	Woodlouse	2024-06-04
6.80	9.58	Woodlouse	2024-06-03
9.81	13.43	Woodlouse	2024-06-08
1.72	6.44	Woodlouse	2024-06-04
4.17	10.30	Woodlouse	2024-06-08
0.69	14.64	Woodlouse	2024-06-06
9.65	13.47	Woodlouse	2024-06-01
2.15	18.23	Woodlouse	2024-06-06
6.19	10.47	Woodlouse	2024-06-07
5.44	12.61	Woodlouse	2024-06-06
2.45	19.93	Woodlouse	2024-06-06
5.72	11.89	Woodlouse	2024-06-02
6.76	12.17	Woodlouse	2024-06-01
2.33	19.50	Woodlouse	2024-06-07
5.76	11.25	Woodlouse	2024-06-01
6.74	14.89	Woodlouse	2024-06-06
8.63	16.78	Woodlouse	2024-06-06
8.77	19.40	Woodlouse	2024-06-05
8.10	11.00	Woodlouse	2024-06-07
6.84	11.92	Woodlouse	2024-06-07
6.41	7.37	Woodlouse	2024-06-07
7.70	12.24	Woodlouse	2024-06-02
6.20	7.39	Woodlouse	2024-06-03
4.80	6.07	Woodlouse	2024-06-01
4.02	16.62	Woodlouse	2024-06-06
8.93	16.27	Woodlouse	2024-06-02
0.83	7.34	Woodlouse	2024-06-03
2.43	16.35	Woodlouse	2024-06-07
3.80	18.61	Woodlouse	2024-06-06
5.28	19.88	Woodlouse	2024-06-07
2.15	16.24	Woodlouse	2024-06-07
2.50	15.33	Woodlouse	2024-06-03
5.39	10.62	Woodlouse	2024-06-05
0.74	15.09	Woodlouse	2024-06-05
0.69	18.22	Woodlouse	2024-06-02
6.65	9.28	Woodlouse	2024-06-02
1.29	14.56	Woodlouse	2024-06-03
0.27	12.60	Woodlouse	2024-06-02
6.11	9.07	Woodlouse	2024-06-02
6.26	12.80	Woodlouse	2024-06-06
1.10	6.69	Woodlouse	2024-06-02
0.55	9.69	Woodlouse	2024-06-08
1.43	13.44	Woodlouse	2024-06-08
36.75	73.27	Butterfly	2024-06-04
36.05	96.00	Butterfly	2024-06-04
39.13	92.94	Butterfly	2024-06-05
37.37	70.15	Butterfly	2024-06-08
36.36	94.94	Butterfly	2024-06-03
30.91	97.02	Butterfly	2024-06-01
34.87	58.17	Butterfly	2024-06-08
37.44	74.79	Butterfly	2024-06-07
33.79	56.72	Butterfly	2024-06-01
30.61	87.84	Butterfly	2024-06-03
36.01	65.71	Butterfly	2024-06-04
32.00	62.13	Butterfly	2024-06-05
34.93	69.17	Butterfly	2024-06-07
35.22	89.06	Butterfly	2024-06-04
33.64	89.00	Butterfly	2024-06-08
36.22	85.60	Butterfly	2024-06-02
38.29	92.08	Butterfly	2024-06-05
37.67	81.29	Butterfly	2024-06-01
37.11	67.35	Butterfly	2024-06-07
34.95	66.41	Butterfly	2024-06-05
39.92	69.99	Butterfly	2024-06-03
35.39	78.52	Butterfly	2024-06-04
35.22	63.64	Butterfly	2024-06-03
35.05	92.37	Butterfly	2024-06-05
33.60	66.77	Butterfly	2024-06-07
38.71	89.84	Butterfly	2024-06-01
31.27	99.30	Butterfly	2024-06-07
34.17	95.10	Butterfly	2024-06-07
39.20	80.00	Butterfly	2024-06-06
36.04	95.63	Butterfly	2024-06-04
32.93	83.67	Butterfly	2024-06-08
33.28	81.89	Butterfly	2024-06-06
32.33	67.31	Butterfly	2024-06-02
38.21	58.77	Butterfly	2024-06-08
37.99	69.79	Butterfly	2024-06-06
39.45	87.21	Butterfly	2024-06-07
31.36	57.72	Butterfly	2024-06-04
32.31	86.83	Butterfly	2024-06-07
35.32	97.83	Butterfly	2024-06-01
33.95	74.02	Butterfly	2024-06-06
33.77	50.45	Butterfly	2024-06-05
37.95	58.82	Butterfly	2024-06-04
36.17	79.91	Butterfly	2024-06-04
30.93	56.97	Butterfly	2024-06-02
32.27	72.80	Butterfly	2024-06-04
37.92	78.83	Butterfly	2024-06-05
34.90	87.68	Butterfly	2024-06-02
31.02	87.96	Butterfly	2024-06-03
32.58	76.34	Butterfly	2024-06-07
38.26	69.16	Butterfly	2024-06-04
39.60	74.85	Butterfly	2024-06-01
34.80	89.61	Butterfly	2024-06-02
39.10	97.70	Butterfly	2024-06-08
32.06	68.02	Butterfly	2024-06-03
32.58	52.05	Butterfly	2024-06-06
31.12	93.45	Butterfly	2024-06-06
12.42	46.72	Common Centipede	2024-06-06
18.70	74.55	Common Centipede	2024-06-04
3.39	9.67	Common Centipede	2024-06-03
10.92	35.83	Common Centipede	2024-06-03
14.75	18.91	Common Centipede	2024-06-04
19.79	69.06	Common Centipede	2024-06-04
27.81	56.40	Common Centipede	2024-06-04
1.62	2.27	Common Centipede	2024-06-04
14.57	56.71	Common Centipede	2024-06-05
40.26	78.70	Common Centipede	2024-06-04
14.87	24.49	Common Centipede	2024-06-01
7.24	22.91	Common Centipede	2024-06-04
9.10	25.07	Common Centipede	2024-06-05
19.78	77.79	Common Centipede	2024-06-08
1.35	2.28	Common Centipede	2024-06-02
15.75	18.82	Common Centipede	2024-06-01
17.47	51.50	Common Centipede	2024-06-01
17.73	60.32	Common Centipede	2024-06-07
21.29	64.35	Common Centipede	2024-06-02
14.99	20.87	Common Centipede	2024-06-05
18.09	43.24	Common Centipede	2024-06-02
1.36	1.85	Common Centipede	2024-06-07
29.05	41.48	Common Centipede	2024-06-08
10.81	31.22	Common Centipede	2024-06-08
23.79	79.78	Common Centipede	2024-06-01
3.41	7.19	Common Centipede	2024-06-02
3.18	6.41	Common Centipede	2024-06-08
2.70	3.58	Common Centipede	2024-06-03
10.57	32.31	Common Centipede	2024-06-01
25.90	64.58	Common Centipede	2024-06-03
13.53	48.31	Common Centipede	2024-06-03
10.09	25.45	Common Centipede	2024-06-05
3.47	9.40	Common Centipede	2024-06-03
18.78	22.99	Common Centipede	2024-06-08
34.80	57.22	Common Centipede	2024-06-08
40.83	52.82	Common Centipede	2024-06-08
35.74	58.14	Common Centipede	2024-06-08
2.78	7.18	Common Centipede	2024-06-01
9.68	11.49	Common Centipede	2024-06-05
6.87	16.98	Common Centipede	2024-06-02
24.89	42.78	Common Centipede	2024-06-07
24.86	46.05	Common Centipede	2024-06-02
9.81	14.56	Common Centipede	2024-06-02
26.26	75.19	Common Centipede	2024-06-07